step,mean_loss,epoch,compute_time
1,123.91417,0,2024-09-15 01:54:53.422404+00:00
2,115.62707,0,2024-09-15 01:54:54.250795+00:00
3,103.677635,0,2024-09-15 01:54:55.138575+00:00
4,147.60696,0,2024-09-15 01:54:55.873325+00:00
5,97.98969,0,2024-09-15 01:54:56.598029+00:00
6,96.132195,0,2024-09-15 01:54:57.381608+00:00
7,96.79936,0,2024-09-15 01:54:58.136869+00:00
8,62.679085,0,2024-09-15 01:54:59.003817+00:00
9,106.777596,0,2024-09-15 01:54:59.987783+00:00
10,113.66089,0,2024-09-15 01:55:00.929617+00:00
11,99.55667,0,2024-09-15 01:55:01.735185+00:00
12,83.46298,0,2024-09-15 01:55:02.548637+00:00
13,64.78334,0,2024-09-15 01:55:03.439853+00:00
14,87.42951,0,2024-09-15 01:55:04.377954+00:00
15,81.83836,0,2024-09-15 01:55:05.637043+00:00
16,90.570076,0,2024-09-15 01:55:06.548543+00:00
17,74.76765,0,2024-09-15 01:55:07.462432+00:00
18,63.670456,0,2024-09-15 01:55:08.345221+00:00
19,56.14755,0,2024-09-15 01:55:09.207749+00:00
20,76.14799,0,2024-09-15 01:55:10.204464+00:00
21,60.200573,0,2024-09-15 01:55:11.167947+00:00
22,109.38588,0,2024-09-15 01:55:11.887537+00:00
23,85.04652,0,2024-09-15 01:55:12.671778+00:00
24,70.74461,0,2024-09-15 01:55:13.641526+00:00
25,82.1709,0,2024-09-15 01:55:14.620309+00:00
26,101.68111,0,2024-09-15 01:55:15.274533+00:00
27,99.473434,0,2024-09-15 01:55:15.974942+00:00
28,71.06484,0,2024-09-15 01:55:16.678932+00:00
29,58.664413,1,2024-09-15 01:55:17.537217+00:00
30,73.15719,1,2024-09-15 01:55:18.385172+00:00
31,50.66262,1,2024-09-15 01:55:19.034115+00:00
32,53.90971,1,2024-09-15 01:55:19.999433+00:00
33,65.15114,1,2024-09-15 01:55:20.826852+00:00
34,63.091553,1,2024-09-15 01:55:21.773054+00:00
35,34.537224,1,2024-09-15 01:55:22.514497+00:00
36,70.52421,1,2024-09-15 01:55:23.468176+00:00
37,37.867577,1,2024-09-15 01:55:24.182364+00:00
38,44.419533,1,2024-09-15 01:55:24.888726+00:00
39,46.39861,1,2024-09-15 01:55:25.598239+00:00
40,50.656235,1,2024-09-15 01:55:26.561776+00:00
41,49.96987,1,2024-09-15 01:55:27.380890+00:00
42,71.98133,1,2024-09-15 01:55:28.330676+00:00
43,52.247303,1,2024-09-15 01:55:29.242631+00:00
44,39.320908,1,2024-09-15 01:55:30.063058+00:00
45,45.261703,1,2024-09-15 01:55:30.733418+00:00
46,60.65342,1,2024-09-15 01:55:31.583240+00:00
47,66.49965,1,2024-09-15 01:55:32.513980+00:00
48,56.67047,1,2024-09-15 01:55:33.306460+00:00
49,51.417343,1,2024-09-15 01:55:33.991310+00:00
50,41.071964,1,2024-09-15 01:55:34.842258+00:00
51,32.42386,1,2024-09-15 01:55:35.748756+00:00
52,67.507416,1,2024-09-15 01:55:36.617001+00:00
53,63.128235,1,2024-09-15 01:55:37.473812+00:00
54,64.03775,1,2024-09-15 01:55:38.124353+00:00
55,48.708965,1,2024-09-15 01:55:39.023006+00:00
56,43.206856,1,2024-09-15 01:55:39.927721+00:00
57,77.66278,2,2024-09-15 01:55:40.650941+00:00
58,36.475475,2,2024-09-15 01:55:41.566891+00:00
59,46.26745,2,2024-09-15 01:55:42.539605+00:00
60,22.320515,2,2024-09-15 01:55:43.393895+00:00
61,18.00199,2,2024-09-15 01:55:44.154377+00:00
62,28.620222,2,2024-09-15 01:55:44.867909+00:00
63,43.928738,2,2024-09-15 01:55:45.638873+00:00
64,18.392548,2,2024-09-15 01:55:46.288267+00:00
65,38.17041,2,2024-09-15 01:55:47.245182+00:00
66,21.015528,2,2024-09-15 01:55:48.148606+00:00
67,48.07582,2,2024-09-15 01:55:49.047722+00:00
68,30.572985,2,2024-09-15 01:55:49.877371+00:00
69,34.34424,2,2024-09-15 01:55:50.679930+00:00
70,41.42941,2,2024-09-15 01:55:51.411607+00:00
